X1,X2,X3,X4,X5,X6,X7,X8,Y
No,Hot,7.77,7.39,19.99,84.13,24.36,28.82,102.43
Yes,Hot,3.54,3.37,6.71,68.88,37.34,36.13,97.87
Yes,NA,2,NA,NA,77.43,33.27,33.7,102.52
Yes,Neutral,5.61,5.71,15.46,92.26,90.22,85.39,102.28
No,Neutral,3.63,3.59,15.44,78.96,51.4,48.91,96.03
No,Neutral,5.46,5.39,2.64,98.82,12.74,13.89,108.97
No,Cold,8.53,8.68,17.83,96.42,98.42,97.14,114.4
Yes,Hot,4.92,5.06,NA,85.27,12.14,7.15,97.46
Yes,Cold,2.43,2.38,2.49,72.19,95.87,97.9,106.78
Yes,Cold,1.53,1.55,75.25,76.56,21.42,21.29,110.34
Yes,Neutral,6.01,6.06,3.74,NA,NA,5.16,110.58
Yes,Cold,3.92,3.89,5.14,59.25,76.99,78.14,108.26
Yes,Cold,2.11,2.04,11.82,98.11,50.13,51.95,106.84
Yes,Neutral,6.64,6.51,15.87,72.43,18.48,16.96,110.18
No,Cold,1.88,1.96,2.31,74.5,40.09,44.29,102.38
No,Neutral,6.06,5.95,3.17,57.67,62.82,66.36,109.1
No,Cold,5.28,5.42,5.51,94.32,55.32,51.9,101.08
Yes,Cold,4.22,4.18,7.13,77.84,71.7,67.58,102.95
No,Hot,3.78,3.62,3.77,96.92,25.94,25.51,97.6
Yes,Cold,4.01,3.96,6.07,99.95,46.74,48.67,108.9
No,Hot,7.17,6.94,10.32,98.06,NA,19.66,99.95
Yes,NA,4.72,4.85,9.19,98.2,96.9,92.02,109.16
No,Neutral,3.57,3.66,11.68,79.85,95.96,91.09,105.11
Yes,Neutral,NA,9.67,5.15,NA,NA,11.69,110.01
Yes,Neutral,4.45,4.62,3.46,99.51,57.04,57.78,118.59
No,Neutral,6.26,6.32,39.01,46.39,38.06,33.18,114.91
No,Cold,2.55,2.68,11.42,99.93,NA,53.99,105.31
No,Neutral,6.11,6.37,7.05,71.26,48.84,53.06,96.32
No,Cold,6.42,6.43,12.82,NA,NA,11.33,101.88
Yes,Neutral,6.98,6.72,6.97,80.9,67.48,NA,114.09
Yes,Cold,5.82,5.66,15.6,77.88,38.07,41.47,116.63
Yes,Cold,5.57,5.84,2.07,99.03,36.76,35.74,110.16
No,Cold,5.95,5.94,6.29,NA,1.83,1,108.02
Yes,Neutral,1,0.99,3.54,83.71,NA,NA,103.38
No,Hot,6.59,6.36,8.48,96.18,98.11,97.35,95.48
No,Hot,6,6.03,13.08,87.26,38.91,38.5,98.64
No,Neutral,3.21,3.07,1.16,NA,79.84,76.59,99.47
No,Neutral,5.57,5.36,16.76,94.91,92.8,90.4,108.33
No,Neutral,6.86,7.13,5.46,99.42,2.49,1,112.41
No,Neutral,5.46,5.33,5.74,87.9,91.51,89.94,103.34
Yes,Cold,7.23,6.88,1.49,77.21,86.19,89.7,105.88
No,Neutral,5.34,5.18,1.58,99.23,5.16,2.83,102.95
Yes,Neutral,8.1,NA,10.87,79.78,36.88,32.6,118.4
No,NA,3.3,3.34,5.24,91.9,32.31,27.92,106.05
Yes,Neutral,6.58,6.34,7.6,88.42,NA,30.99,114.72
No,Hot,2.91,3.04,24.52,63.65,40.03,38.84,96.14
No,Neutral,1.76,1.77,3.81,83.7,28.38,32.8,98
Yes,Hot,1.83,1.88,13.58,58.01,48.15,44.6,86.36
No,Cold,6.55,6.68,13.33,77.39,81.89,79.95,110.99
Yes,Neutral,4.63,4.85,2.81,90.85,46.34,NA,110.36
NA,Neutral,6.01,NA,NA,94.96,NA,33.88,102.93
No,Hot,5.26,5.44,7.05,95.17,91.54,96.13,92.97
No,Neutral,5.49,5.24,19.37,83.45,5.99,10.61,107.31
No,Cold,3.14,3.27,52.54,78.56,58.74,63.04,112.78
No,Hot,5.07,4.97,1.79,96.84,25.43,21.02,94.93
Yes,Neutral,3.99,4.05,5.3,NA,NA,71.48,102.48
NA,Neutral,7.47,7.5,37.9,96.03,33.03,28.73,105.42
Yes,Neutral,1,0.97,5.89,64.65,89.81,87.42,108.27
No,Neutral,10,9.89,14.72,80.09,85.69,84.34,112.65
Yes,Neutral,7.38,7.41,6.96,92.79,25.57,24.83,117.65
Yes,Neutral,4.5,4.37,1.16,93.27,99.87,98.83,106.33
Yes,Cold,9.77,10.17,6.99,93.09,41.25,43.51,111.51
No,Hot,5.16,4.91,NA,83.23,43.24,47.1,87.36
NA,Neutral,4.49,4.46,3.01,63.79,83.71,NA,99.94
Yes,Hot,4.2,4.14,11.94,NA,NA,58.8,97.08
Yes,Hot,4.36,4.43,15.66,81.71,13.34,NA,108.43
No,Neutral,6.88,6.98,14.17,67.66,57.63,61.34,102.59
Yes,Neutral,2.7,2.65,2.28,56.99,9.05,12.72,105.91
No,Neutral,4.05,NA,3.66,97.27,70,73.01,112.01
Yes,Neutral,4.84,4.7,3.63,93.08,17.11,18.11,113.98
Yes,Cold,2.73,2.74,17.52,76.92,25.74,23.39,114.88
No,Neutral,7.85,7.82,2.83,88.69,9.49,8.14,101.41
Yes,Neutral,7.18,7.17,3.38,95.22,37.1,33.84,107.97
No,Neutral,5.39,5.57,1.41,NA,95.04,NA,102.61
Yes,Cold,3.2,3.34,16.86,89.68,58.42,56.76,112.58
No,Neutral,6.08,5.8,21.14,93.29,68.53,68.75,110.48
NA,Cold,2.99,3.03,2.45,96.21,58.66,56.43,104.74
No,Neutral,3.9,3.79,3.03,92.71,51.92,52.06,98.4
Yes,Cold,3.35,3.5,18.28,82.67,43.34,39.94,107.16
Yes,Neutral,3.93,3.99,8.86,99.3,55.36,55.29,107.81
No,Neutral,3.7,3.58,5.83,97,66.01,65.3,105.55
NA,Cold,3.84,3.97,32.79,95.44,87.09,85.26,116.31
No,Hot,4.35,4.41,1.93,91.3,92.3,92.05,91.76
Yes,Hot,9.9,NA,5.09,92.71,84.28,87.31,100.35
No,Neutral,3.27,3.15,15.46,68.28,75.48,75.85,94.6
Yes,Neutral,4.84,4.88,1.77,95.89,83.83,81.96,107.68
Yes,Hot,3.05,NA,8.87,88.81,80.87,80.23,96.71
Yes,Neutral,2.86,2.76,11.09,NA,2.07,4.39,106.44
Yes,Neutral,4.93,4.73,1.4,91.14,18.68,23.24,110.06
No,Neutral,6.89,7.09,13.34,90.19,71.6,69.46,106.48
Yes,Cold,3.86,3.73,9.02,96.13,78.24,77.38,116.55
Yes,Neutral,3.86,3.75,2.04,95.89,70.77,NA,102.7
Yes,Neutral,3.73,3.74,24.49,60.67,4.89,7.03,118.89
No,Cold,5.88,6.01,1.31,89.22,59.49,63.8,100.78
No,Neutral,4.97,4.76,25.31,77.04,27.6,24.62,105.66
No,Neutral,6.43,6.37,4.02,83.81,18.51,13.92,102
Yes,Neutral,5.13,5.35,18.07,88.79,58.73,54.89,115.83
Yes,Neutral,2.89,3.01,34.31,97.84,6.92,8.76,106.18
Yes,Hot,6.28,6.6,4.52,94.88,89.01,86.04,111.17
No,NA,1,1.01,7.39,86.31,93.87,98.32,102.36
No,Neutral,NA,3.16,6.82,97.55,81.97,85.83,101.71
No,Cold,9.36,9.3,8.37,89.1,51.55,49.79,112.66
Yes,Neutral,2.85,NA,31.25,95.46,73.91,74.37,109.17
Yes,Hot,3.32,3.48,NA,85.7,83.93,83.64,103.76
No,Neutral,1.64,1.61,45.33,86.41,16.23,15.27,103.39
No,Neutral,3.84,3.85,23.26,79.99,29.24,30.96,105.13
No,Hot,8.75,8.91,2.32,38.94,22.23,19.21,99.09
No,Cold,3.92,3.94,3.62,81.72,25,23.46,100.03
Yes,Hot,5.89,NA,1.95,78.11,90.98,95.59,96.13
Yes,Neutral,3.8,3.81,16.84,84.68,50.26,45.99,108.96
No,Cold,4.56,4.43,17.61,92.06,4.59,4.87,99.85
Yes,Cold,3.2,3.04,30.59,96.72,49.5,44.75,115.1
NA,Cold,4.52,4.56,3.8,89.11,63.97,61.57,106.97
Yes,Neutral,5.2,5.02,3.33,67.92,61.44,64.73,109.92
No,Neutral,7.13,NA,21.56,62.08,17.65,18.02,118.31
Yes,Cold,6.57,6.38,12.03,99.79,1.57,1.07,122.26
No,Neutral,NA,6.25,30.89,97.8,80.97,78.91,110.85
Yes,Hot,7.44,NA,25.38,87.93,24.45,24.44,106.55
No,Neutral,6.3,6.61,12.14,94.56,NA,70.37,105.73
No,Hot,5.03,5.01,15.31,91.92,24.03,24.95,100.96
NA,NA,9.54,9.21,1.85,94.4,5.6,8.88,115.75
No,Neutral,NA,2.68,5.4,97.6,77.12,76.92,103.29
Yes,Neutral,5.79,6.04,5.37,81.63,7.08,6.35,110.35
No,NA,4.87,4.74,2.24,91.78,NA,86.47,103.96
NA,Neutral,5.95,5.72,12.97,86,25.6,NA,125
Yes,Hot,7.94,7.74,6.65,92.57,74.23,70.2,96.99
No,Neutral,5.54,5.49,5.14,54.27,70.4,70.13,106.68
No,Hot,10,9.78,19.3,88.42,26.29,26.32,112
No,Neutral,NA,4.49,7.67,91.47,24.08,24.04,103.42
Yes,Neutral,3.3,3.15,17.33,97.23,12.37,16.33,108.43
Yes,Neutral,6.35,6.16,6.86,98.71,9.77,11.43,118.81
No,Neutral,4.79,4.85,10.83,94.19,61.64,63.31,103.89
No,Neutral,2.92,2.97,6,78.91,5.8,10.28,111.58
Yes,Hot,5.92,5.76,10.33,98.5,60.14,58.39,91
Yes,Neutral,4.43,4.64,7.87,79.83,42.58,47.02,110
Yes,Hot,6.43,6.59,9.13,93.85,18.92,NA,99.27
Yes,Neutral,2.9,2.77,20.4,87.68,23.04,22.26,120.73
No,Hot,2.41,2.49,6.08,75.55,77.08,80.35,86.93
No,Neutral,6.32,6.24,10.44,91.26,21.18,17.07,112.03
No,Neutral,2.61,2.72,1.85,99.61,32.57,32.42,100.2
Yes,Neutral,4.61,4.84,1.47,85.45,91.32,88.19,110.8
NA,Hot,7.1,6.98,7.59,84.26,46.56,44.15,105.17
Yes,Hot,3.38,3.55,21.64,37.95,53.07,50.33,96.87
No,Neutral,4.05,3.9,5.33,98.76,50.59,54.6,112.76
No,Hot,1.79,1.76,34.73,98.25,68.17,68.18,102.79
No,Hot,6.38,6.19,8.4,84.93,56.27,54.54,99.9
No,Neutral,4.24,4.3,18.48,99.94,61.63,57.59,107.62
No,Neutral,5.52,5.36,9.85,94.82,89.04,85.69,103.28
Yes,Neutral,4.82,4.84,5.97,98.85,87.22,87.35,108.77
Yes,Cold,1.81,1.73,9.8,94.29,93.8,93.4,99.41
NA,NA,4.46,4.36,2,83.97,88.79,89.28,110.04
No,Neutral,7.34,7.07,NA,94.48,66.65,62.24,103.95
Yes,NA,2.44,2.53,50.97,62.34,NA,37.62,101.19
No,Neutral,5.65,5.85,10.83,NA,61.85,58.7,104.02
Yes,Cold,6.22,6.26,8.56,54.01,30.76,29.3,113.74
No,Neutral,3.95,3.79,2.71,99.54,7.38,NA,99.65
Yes,Neutral,NA,4.99,NA,96.21,33.22,34.8,106.79
No,Neutral,3.37,3.39,11.82,88.42,5.25,2.73,93.19
Yes,Hot,5.59,5.56,5.76,95.74,93,89.03,102.8
No,Hot,9.71,10.1,2.16,95.76,45.1,45.94,99.32
Yes,Hot,4.88,4.7,15.84,66.79,76.71,NA,103.3
No,Cold,3.81,3.93,8.82,NA,NA,21.36,99.93
No,Neutral,2.91,3.01,2.06,60.97,49.88,49.61,107.35
Yes,Cold,2.73,2.83,2.96,94.29,40.33,40.7,110.18
NA,Neutral,6.86,6.94,3.43,80.79,59.12,59.82,98.14
Yes,Neutral,3.01,3,52.48,83.03,64.38,63.11,111.58
No,Neutral,2.88,2.91,18.9,83.08,48.94,49.01,118.15
No,Neutral,7.09,7.26,19.8,97.66,61.08,63.47,107.47
No,Hot,5.68,NA,20.57,99.19,90.29,92.85,104.46
No,Neutral,3.61,3.68,NA,99.39,14.8,18.88,106.97
No,Neutral,5.14,5.22,30.6,90,14.35,15.76,109.96
Yes,Hot,6.28,6.05,31.42,74.68,13.81,11.68,102.46
Yes,Neutral,1.01,0.97,8.96,98.17,11.82,12.1,99.83
No,Neutral,3.72,3.55,7.82,81.23,30.06,27.41,101.28
Yes,Neutral,8.74,8.5,4.59,98.32,69.22,66.37,114.19
No,Neutral,7.82,7.74,3.43,67.83,NA,1,96.83
Yes,Neutral,4.27,4.22,9.24,75.64,36.42,38.14,111.15
Yes,Cold,3.92,3.9,3.51,92.8,47.91,52.02,108.25
Yes,Neutral,6.34,6.52,29.35,91.19,10.78,15.16,115.26
No,Cold,5.18,5.15,1.92,91.31,23.66,23.33,101.09
No,Cold,5.42,5.3,14.62,94.75,8.44,8.64,120.03
Yes,Neutral,4.05,4.05,5.17,44.15,85.98,84.49,112.97
No,Neutral,2.48,2.41,19.45,NA,1.42,1,107.51
No,NA,NA,3.95,8.7,92.58,39.3,39.05,105.46
Yes,Neutral,1,0.99,76.58,96.9,27.54,25.41,113.1
No,Hot,7.95,8.33,17.94,96.29,8.49,13.09,103.18
Yes,Hot,3.79,3.85,2.05,96.62,92.27,91.5,104.44
Yes,Neutral,5.02,5.14,7.73,NA,18.78,22.85,108.73
Yes,Neutral,4.51,4.45,32.93,97.22,52.33,53.93,109.17
NA,Neutral,3.5,3.64,20.2,82.37,40.64,38.17,95.83
Yes,Hot,3.72,3.65,2.75,93.97,72.71,77.6,98.33
No,Neutral,2.75,2.88,10.76,89.05,91.94,89.49,101
Yes,Neutral,3.15,3.29,8.56,83.36,87.27,84.68,103.61
Yes,Hot,7.82,7.9,NA,91.9,92.51,88.36,104.01
No,Neutral,6.9,6.56,34.34,63.98,59.26,63.39,109.84
Yes,Neutral,6.06,6.07,1.5,90.48,25.33,27.09,121.75
Yes,Hot,8.36,8.24,3.09,94.16,87.03,87.93,100.72
Yes,Hot,4.5,4.43,15.69,87.53,25.77,27.68,95.78
No,Neutral,6.39,6.36,19.17,82.55,64.5,60.79,116.55
No,Cold,1.68,1.66,6.4,97.81,51.57,53.02,107.71
No,Hot,8.68,9.02,23.54,95.81,41.91,38.28,105.65
Yes,Neutral,4.06,4.13,2.63,97.88,47.02,45.05,107.25
No,Hot,7.44,7.55,15.02,80.09,12.21,NA,95.02
Yes,Neutral,6.76,6.98,3.61,85.09,39.39,44.23,116.43
Yes,Hot,1.62,1.69,8.45,97.78,97.48,96.61,89.29
Yes,Neutral,8.42,8.78,20.36,85.39,46.22,49.81,109.49
Yes,Neutral,NA,1.46,19.57,89.99,91.81,92.03,106.86
No,Neutral,6.75,6.47,NA,86.21,93.39,93.13,106.35
No,NA,7.96,7.97,20.96,71.99,5,1.08,93.15
Yes,Neutral,1.67,1.73,2.2,75.14,18.72,16.65,106.9
No,Cold,8.16,7.84,4.31,89.6,42.74,46.48,108.01
Yes,Neutral,4.31,4.47,8.66,99.7,70.98,72.52,107.65
No,Neutral,6.11,5.92,17.8,92.64,NA,98.03,99.18
No,Neutral,7.64,7.56,20.45,87.27,47.92,44.47,116.65
No,Neutral,4.7,NA,7.05,NA,88.83,91.83,107.88
No,Neutral,7.65,7.94,12.6,90.89,69.76,66.41,108.33
Yes,Neutral,2.34,2.23,28.54,84.19,24.97,28.24,105.35
Yes,Hot,6.92,6.78,29.14,97.73,28.29,28.91,97.28
No,Hot,2.78,2.69,2.6,85.13,72.6,69.53,95.82
Yes,Neutral,3.79,3.76,2.37,90.42,79.23,79.56,110.82
No,Cold,4.38,4.35,28.12,94.2,72.67,75.34,99.97
No,NA,2.47,2.38,NA,NA,89.31,92.08,105.06
No,Neutral,6.01,6.23,33.35,55.99,51.67,47.24,109.27
No,Neutral,3.97,3.91,2.1,79.18,7.98,5.96,100.93
No,Cold,5.74,5.84,21.74,63.09,41.2,38.75,101.97
Yes,Hot,6.22,6.04,14.65,75.6,NA,64.19,90.24
Yes,Neutral,7.25,7.1,7.31,97.72,73.65,78.12,111.14
Yes,Cold,4.55,4.72,NA,98.23,13.27,12.83,113.02
Yes,Neutral,3.32,3.19,11.14,95.21,NA,78.58,106.52
Yes,Neutral,3.7,3.87,13.78,62.79,5.87,6.33,112.86
No,Neutral,5.58,5.46,2.21,99.17,38.61,34.9,107.6
Yes,Hot,6.21,6.38,1.94,93.94,77.05,80.31,102.23
No,Neutral,7.74,7.43,9.31,99.46,75.37,71.7,105.62
No,Neutral,5.49,5.58,10.24,92.02,9.69,5.21,102.98
No,Neutral,9.1,9.38,58.37,85.75,82.2,77.7,112.64
No,Neutral,5.12,5.11,4.96,86.39,67.62,66.85,96.4
No,Neutral,6.06,5.86,6.21,75.62,93.35,98.32,114.5
Yes,Neutral,5.79,5.84,15.54,87.12,19.3,22.27,117.67
No,Cold,4.69,4.92,13.06,63.39,37.77,39.99,112.32
Yes,Hot,4.38,4.41,NA,91.1,13.86,18.31,97.53
Yes,Hot,7.18,7.3,4.55,98.83,62.78,58.36,101.56
Yes,Neutral,7.04,6.75,2.92,94.9,50.48,51.38,113.1
Yes,Neutral,2.65,2.7,24.82,99.85,44.06,41.72,111.55
Yes,Cold,4.13,3.97,NA,82.72,69.66,71.82,117.37
Yes,Neutral,3.71,3.67,18.92,85.56,72.8,73.78,110.23
Yes,Hot,2.33,2.34,20.72,55.62,16.44,15.24,94.76
Yes,NA,2.28,2.28,13.94,85.09,9.56,13.28,104.36
Yes,Neutral,1.75,1.78,39.54,99.34,48.61,52.3,112.49
NA,Neutral,7.15,7.26,17.08,78.86,29.77,29.68,101.29
Yes,NA,8.37,8.19,24.49,64.03,94.01,93.47,106.61
Yes,Neutral,3.35,3.21,5.23,83.46,4.31,6.51,102.78
No,Neutral,1,0.97,9.46,68.16,82.68,79.33,102.04
Yes,Neutral,2.24,2.14,3.65,89.66,56.45,55.5,100.53
Yes,Cold,4.23,4.03,15.37,84.18,12.57,12.41,116.35
No,Hot,3.8,NA,7.28,99.34,9.2,10.89,92.46
No,Neutral,3.4,3.54,7.58,84.91,73.23,78.18,104.4
No,Hot,5,4.93,1.64,78.57,4.81,1.7,93.82
Yes,Cold,3.44,3.45,12.9,84.35,68.74,73.26,98.42
No,Neutral,2.17,2.17,24.54,95.48,83.54,83.77,105.89
Yes,NA,4.8,4.93,6.01,93.65,90.92,87.11,108.31
Yes,Neutral,3.94,3.89,4.01,87.65,89.47,92.32,113.67
Yes,Cold,5.71,5.6,3.06,44.91,NA,98.12,104.62
Yes,Cold,7.35,7.35,4.14,82.51,75.6,73.7,106.23
Yes,Cold,3.35,3.46,35.41,95.52,55.85,57.8,103.65
No,Neutral,5.58,5.8,16.85,83.36,4.03,7.99,113.12
No,NA,1.81,1.89,7.55,82.32,77.66,77.97,105.05
Yes,Hot,3.8,3.75,1.04,78.5,40,38.13,98.73
No,Neutral,7.56,7.41,13.7,58.27,14.61,15.4,93.25
Yes,Cold,4.47,4.31,1.76,97.63,92.94,95.37,107.71
No,NA,6.9,6.82,9.24,75.05,58.12,56.47,105.87
Yes,Neutral,5.18,4.99,7.03,76.28,10.18,9.9,110.39
Yes,Cold,3.71,3.84,14.71,99.72,47.47,46.67,114.43
Yes,Neutral,5.31,5.41,8.94,53.9,11.6,10.9,110.41
Yes,Neutral,7.65,7.39,16.9,99.26,45.04,49.11,126.24
No,Neutral,6.39,6.5,20.22,83.88,80.99,75.99,103.52
Yes,Neutral,6.32,6.51,9.79,93.27,70.84,69.83,116.86
Yes,Neutral,NA,2.08,12.01,98.47,76.12,73.87,108.11
Yes,Neutral,6.71,6.71,18.53,99.45,71.85,73.99,116.49
Yes,Hot,2.81,2.86,1.42,NA,44.38,45.16,103.62
Yes,Cold,3.49,3.56,11.99,96.38,64.02,60.03,105.98
No,Hot,5.23,5.13,2.74,95.27,33.68,30.28,92.68
No,Hot,4.85,4.94,5.75,88.7,25.9,26.44,91.04
Yes,Neutral,5.99,5.83,17.23,95.56,49,51.81,114.26
Yes,Hot,4.53,4.44,2.34,92.87,39.99,37.03,100.88
Yes,Neutral,2.19,2.24,21.62,97.4,63.23,NA,103.89
Yes,Neutral,3.13,3.06,15.42,97.34,30.48,28.9,99.84
No,Neutral,NA,3.48,12.28,99.95,28.19,24.3,109.19
Yes,Neutral,1.81,1.83,3.78,92.87,NA,90.52,109.54
No,Hot,3.86,3.99,14.84,85.71,23.37,21.16,89.56
Yes,Cold,1.46,1.42,5.25,98.66,45.52,44.63,107.87
No,Cold,NA,4.55,4.81,NA,91.97,96.48,108
Yes,Cold,2.8,2.78,2.16,97.79,51.13,48.42,102.67
No,Neutral,NA,6.34,32.95,99.76,80.99,84.32,105.28
Yes,Hot,3.61,3.53,15.07,82.95,81.88,79.07,103.16
Yes,Neutral,3.86,3.78,10.35,94.19,41.78,40.92,113.84
No,Cold,5.55,5.65,4.91,53.06,35.59,38.45,103.8
No,Neutral,5.92,5.87,22.4,96.8,50.27,NA,113.91
No,Hot,8.58,8.77,1.4,51.89,41.68,46.05,94.98
No,Neutral,6.36,6.56,5.74,95.43,36.4,36.9,105.46
Yes,Cold,5.41,5.2,30.62,99.16,54.17,52.18,104.1
No,NA,7.12,NA,35.04,80.1,33.29,35.58,111.63
Yes,Neutral,2.46,2.53,NA,98.29,52.32,56.39,105.39
Yes,Neutral,2.79,2.69,4.57,88.05,56.78,54.79,106.12
No,Neutral,NA,4.2,10.35,89.78,4.06,1,121.62
Yes,Cold,NA,4.06,6.43,84.88,79.61,81.2,115.84
Yes,Neutral,NA,NA,27.93,96.52,40.11,35.45,113.85
No,Hot,3.87,3.95,26.58,84.2,93.71,92.99,98.4
No,Hot,5.73,5.69,17.71,86.71,39.77,38.65,101.81
No,Neutral,5.88,5.69,7.52,88.35,34.67,32.39,112.87
No,NA,NA,4.59,11.23,91.39,NA,90.55,100.63
No,Neutral,2.94,2.87,5.46,96.87,63.81,64.37,104.2
No,Neutral,1.1,NA,11.24,87.7,NA,22.4,103.4
No,Cold,5.92,5.67,39.94,96.29,1.29,1.03,114.36
Yes,Hot,5.47,5.38,19.09,99.26,9.21,13.13,100.8
No,Neutral,1.76,1.83,16.49,46.95,45.63,47.75,105.74
No,Neutral,6.27,NA,1.92,91.12,92.18,95.66,113.01
No,Cold,7.65,7.56,2.99,89.2,51.98,56.07,111.72
No,Hot,1.84,1.93,2.46,59.83,66.57,69.58,89.23
Yes,Cold,6.29,6.41,15.74,92.45,69.31,71.87,118.5
No,Neutral,4.15,4.09,20.17,84.51,16.65,15.97,106.77
No,Cold,7.26,7.04,1.59,97.28,72.92,76.63,105.34
NA,Neutral,3.7,3.55,2.46,94.73,87.14,88.94,103.03
Yes,Cold,7.2,7.24,5.81,86.87,18.8,14.06,114.22
Yes,Neutral,6.46,NA,1.43,87.92,72.26,76.15,94.84
Yes,Neutral,5.72,5.54,2.24,87.94,64.72,68.82,113.66
Yes,Neutral,7.25,NA,22.78,88.72,52.51,54.39,112.84
No,Hot,5.53,5.72,NA,95.52,91.14,NA,105.98
Yes,Neutral,4.49,4.54,2.94,93.85,7.09,11.91,104.77
Yes,Neutral,3.56,3.54,26.28,99.83,38.98,39.65,114.55
Yes,Hot,6.34,6.38,14.77,86.32,59.97,58.81,95.32
Yes,Hot,6.25,6.41,1.28,92.22,11,7.75,107.31
Yes,Cold,5.01,5.19,29.07,91.77,46.99,51.91,116.32
NA,Hot,4.7,4.47,2.29,78.35,48.93,44.01,99.86
No,Neutral,4.89,5.04,18.24,98.29,57.04,55.41,90.89
Yes,Hot,4.36,4.27,7.29,92.42,85.14,89.08,109.81
No,Neutral,6.33,6.5,31.54,94.73,61.74,57.81,111.38
No,Cold,6.3,6.52,7.36,94,6.52,9.76,116.71
Yes,Neutral,4.06,3.93,1.15,93.23,15.01,17.17,108.3
Yes,Hot,3.89,3.85,15.41,93.37,65.07,60.83,99
Yes,Hot,4.79,4.65,35.46,86.03,90.2,89.64,92.65
Yes,Neutral,5.31,5.46,38.75,98.76,4.78,2.78,108.79
No,Cold,9.88,9.84,3.04,61.85,96.74,93.38,101.28
Yes,Neutral,7.68,7.41,1.55,82.97,49.99,50.08,117.12
NA,Neutral,6.34,6.27,NA,97.82,97.42,92.64,103.45
No,Cold,2.38,2.41,27.55,96.71,24.79,23.35,104.1
Yes,Neutral,4.38,4.26,21.58,NA,7.33,5.42,104.22
No,Cold,6.5,6.8,32.88,82.25,NA,88.3,117.87
NA,Neutral,NA,7.36,4.08,NA,62.85,60.25,119.45
NA,NA,4.58,4.76,25.25,92.07,93.75,89,107.05
No,Neutral,6.41,NA,4.54,95.2,44.96,43.2,105.99
Yes,Neutral,1.82,1.86,18.9,92.2,64.47,67.74,104.34
Yes,Neutral,2.45,2.37,3.63,97.94,39.8,38.93,114.33
Yes,Neutral,5.67,5.79,11.64,95.76,76.95,77.24,111.98
Yes,Hot,6.2,5.97,18.07,68.79,64.81,60.91,88.6
Yes,Cold,8.19,8.08,7.28,99.64,49.37,50.11,112.02
No,Hot,1.3,1.29,4.35,99.18,29.42,26.21,90.91
Yes,Neutral,3.88,3.75,6.56,NA,86.14,86.38,100.64
Yes,Neutral,9.15,9.33,7.42,99.14,97.94,100,120.65
Yes,Hot,4.13,4.15,14.14,92.7,55.65,60.05,100.54
No,Hot,5.34,5.22,7.31,88.84,5.7,3.62,96.73
No,Neutral,4.64,4.83,14.84,93.73,40.67,41.92,98.33
No,Neutral,7.42,7.72,13.37,98.15,8.36,3.72,118.71
NA,Neutral,6.38,6.67,14.41,NA,60.23,58.9,107.59
No,Neutral,4.14,4.26,15.49,95.11,NA,57.55,108.13
Yes,NA,5.77,5.82,8.2,49.92,59.52,58.01,108.36
Yes,Hot,9.87,9.9,10.04,97.67,77.13,80.98,105.83
Yes,Neutral,1.67,1.72,1.54,89.15,25.83,21.9,100.46
No,Neutral,1,1.01,6.52,85.95,65.84,NA,102.03
